time,latitude,longitude,depth
2017-04-15 08:29:50.999995,-25.058086,-44.56372,751.04333
2017-04-15 08:30:51.000002,-25.057991,-44.563526,758.165
2017-04-15 08:31:50.000004,-25.057898,-44.56333,764.7
2017-04-15 08:32:50.000000,-25.057802,-44.563133,771.1667
2017-04-15 08:33:49.999996,-25.057707,-44.56294,777.73663
2017-04-15 08:34:48.999998,-25.057611,-44.562744,784.141
2017-04-15 08:35:49.000005,-25.057514,-44.562546,790.901
2017-04-15 08:36:49.000001,-25.057419,-44.56235,798.295
2017-04-15 08:37:48.999998,-25.057323,-44.562153,805.93427
2017-04-15 08:38:49.000004,-25.057228,-44.56196,813.2973
2017-04-15 08:39:49.000000,-25.057133,-44.561764,820.574
2017-04-15 08:40:48.000002,-25.05704,-44.56157,827.654
2017-04-15 08:41:47.999999,-25.056942,-44.56137,834.988
2017-04-15 08:42:48.000005,-25.056847,-44.561176,842.24805
2017-04-15 08:43:46.999997,-25.056751,-44.56098,849.66
2017-04-15 08:44:47.000003,-25.056656,-44.560783,857.475
2017-04-15 08:45:47.000000,-25.05656,-44.560585,865.08496
2017-04-15 08:46:46.999996,-25.056465,-44.56039,871.996
2017-04-15 08:47:47.000003,-25.05637,-44.560192,878.1567
2017-04-15 08:48:46.999999,-25.056273,-44.559998,884.25
2017-04-15 08:49:46.000001,-25.05618,-44.559803,889.9813
2017-04-15 08:50:45.999997,-25.056084,-44.55961,895.6517
2017-04-15 08:51:46.000004,-25.055988,-44.55941,901.2006
2017-04-15 08:52:44.999996,-25.055895,-44.55922,906.85
2017-04-15 08:53:45.000002,-25.055798,-44.55902,912.424
2017-04-15 08:54:44.999999,-25.055702,-44.558823,918.064
2017-04-15 08:55:44.999995,-25.055607,-44.558628,923.52
2017-04-15 08:56:45.000002,-25.055511,-44.55843,929.0253
2017-04-15 08:57:44.999998,-25.055416,-44.55823,935.0673
2017-04-15 08:58:44.000000,-25.05532,-44.558037,940.9
2017-04-15 08:59:43.999996,-25.055225,-44.557842,946.53
2017-04-15 09:00:44.000003,-25.05513,-44.557644,951.4811
